country,Confirmed,Deaths,Recovered,Active,Incident_Rate,Mortality Rate (per 100)
Australia,6948,97,6179,672,27.2901880226397,1.4
Austria,15882,620,14061,1201,176.3412684313377,3.9
Canada,70091,4991,32109,32991,185.15308473212303,7.12
China,84010,4637,79171,202,5.980737213675409,5.52
Denmark,10711,533,8526,1652,184.9210050131185,4.98
Finland,5984,271,4000,1713,108.00044326385135,4.53
France,177094,26383,56327,94384,271.3106658026919,14.9
Germany,171999,7569,145600,18830,205.2887340170005,4.4
Iceland,1801,10,1773,18,527.7655677655678,0.56
Ireland,22996,1458,17110,4428,465.71385290117286,6.34
Italy,219070,30560,105186,83324,362.3277814226854,13.95
Netherlands,42987,5475,149,37363,250.87434263446247,12.74
Norway,8105,219,32,7854,149.5044862413447,2.7
Russia,221344,2009,39801,179534,151.67356633930055,0.91
Sweden,26670,3256,4971,18443,264.078492801955,12.21
Switzerland,30344,1834,26600,1910,350.61050643714134,6.04
United Kingdom,224327,32140,1007,191180,330.44661164619436,14.33
USA,1332411,79606,216169,1036636,404.4149792408348,5.97
Afghanistan,4687,122,558,4007,12.04007126838516,2.6
Albania,872,31,654,187,30.300924317186738,3.56
Algeria,5723,502,2678,2543,13.051000862168774,8.77
Andorra,755,48,550,157,977.1565391833299,6.36
Angola,45,2,13,30,0.1369184964961644,4.44
Antigua and Barbuda,25,3,19,3,25.52896005228331,12.0
Argentina,6034,305,1757,3972,13.350804877190184,5.05
Armenia,3392,46,1359,1987,114.46952889984388,1.36
Azerbaijan,2519,32,1650,837,24.844230423086692,1.27
Bahamas,92,11,37,44,23.394906013508013,11.96
Bahrain,5157,8,2152,2997,303.07072884484626,0.16
Bangladesh,15691,239,2902,12550,9.527632998661486,1.52
Barbados,84,7,57,20,29.230506905707248,8.33
Belarus,23906,135,6531,17240,252.99172289733838,0.56
Belgium,53449,8707,13697,31045,461.1800770620873,16.29
Belize,18,2,16,0,4.5269238797749605,11.11
Benin,319,2,62,255,2.631318897868368,0.63
Bhutan,9,0,5,4,1.1663893252048958,0.0
Bolivia,2556,118,273,2165,21.896630257664913,4.62
Bosnia and Herzegovina,2141,113,1114,914,65.25817517903326,5.28
Botswana,24,1,12,11,1.0205708818370276,4.17
Brazil,163510,11207,64957,87346,76.92437646926277,6.85
Brunei,141,1,134,6,32.229823787438605,0.71
Bulgaria,1990,93,461,1436,28.6395013560588,4.67
Burkina Faso,751,49,577,125,3.5927379428240878,6.52
Burma,180,6,72,102,0.3308227926758921,3.33
Burundi,15,1,7,7,0.126148147880278,6.67
Cabo Verde,246,2,56,188,44.2455592566746,0.81
Cambodia,122,0,120,2,0.7297099803570447,0.0
